row,col,x_mm,y_mm,x_px,y_px
0,9,-40.199999999999974,-138.04999999999998,1794.3560273437502,497.2966044921875
0,13,1.0000000000000169,-138.04999999999998,2104.52845703125,497.2966044921875
0,16,31.900000000000013,-138.04999999999998,2337.157779296875,497.2966044921875
0,17,42.20000000000001,-138.04999999999998,2414.70088671875,497.2966044921875
1,19,62.80000000000001,-127.69999999999999,2569.7871015625,575.216134765625
1,18,52.50000000000001,-127.69999999999999,2492.243994140625,575.216134765625
1,7,-60.799999999999976,-127.69999999999999,1639.2698125000002,575.216134765625
1,6,-71.09999999999998,-127.69999999999999,1561.7267050781252,575.216134765625
2,5,-81.4,-117.35,1484.18359765625,653.1356650390625
2,13,1.0000000000000169,-117.35,2104.52845703125,653.1356650390625
2,20,73.10000000000001,-117.35,2647.330208984375,653.1356650390625
2,21,83.4,-117.35,2724.87331640625,653.1356650390625
3,22,93.7,-107.0,2802.416423828125,731.0551953125
3,20,73.10000000000001,-107.0,2647.330208984375,731.0551953125
3,10,-29.899999999999977,-107.0,1871.8991347656251,731.0551953125
3,7,-60.799999999999976,-107.0,1639.2698125000002,731.0551953125
3,4,-91.7,-107.0,1406.640490234375,731.0551953125
4,3,-102.0,-96.65,1329.0973828125,808.9747255859374
4,5,-81.4,-96.65,1484.18359765625,808.9747255859374
4,8,-50.49999999999998,-96.65,1716.8129199218752,808.9747255859374
4,16,31.900000000000013,-96.65,2337.157779296875,808.9747255859374
4,23,104.0,-96.65,2879.95953125,808.9747255859374
5,24,114.30000000000007,-86.3,2957.5026386718755,886.894255859375
5,16,31.900000000000013,-86.3,2337.157779296875,886.894255859375
5,13,1.0000000000000169,-86.3,2104.52845703125,886.894255859375
5,11,-19.59999999999998,-86.3,1949.4422421875001,886.894255859375
5,5,-81.4,-86.3,1484.18359765625,886.894255859375
5,2,-112.3,-86.3,1251.554275390625,886.894255859375
6,1,-122.6,-75.94999999999999,1174.01116796875,964.8137861328125
6,10,-29.899999999999977,-75.94999999999999,1871.8991347656251,964.8137861328125
6,11,-19.59999999999998,-75.94999999999999,1949.4422421875001,964.8137861328125
6,16,31.900000000000013,-75.94999999999999,2337.157779296875,964.8137861328125
6,24,114.30000000000007,-75.94999999999999,2957.5026386718755,964.8137861328125
6,25,124.60000000000007,-75.94999999999999,3035.0457460937505,964.8137861328125
7,25,124.60000000000007,-65.6,3035.0457460937505,1042.73331640625
7,22,93.7,-65.6,2802.416423828125,1042.73331640625
7,11,-19.59999999999998,-65.6,1949.4422421875001,1042.73331640625
7,9,-40.199999999999974,-65.6,1794.3560273437502,1042.73331640625
7,7,-60.799999999999976,-65.6,1639.2698125000002,1042.73331640625
7,6,-71.09999999999998,-65.6,1561.7267050781252,1042.73331640625
8,0,-132.9,-55.24999999999998,1096.468060546875,1120.6528466796876
8,4,-91.7,-55.24999999999998,1406.640490234375,1120.6528466796876
8,23,104.0,-55.24999999999998,2879.95953125,1120.6528466796876
8,26,134.90000000000006,-55.24999999999998,3112.5888535156255,1120.6528466796876
9,26,134.90000000000006,-44.89999999999999,3112.5888535156255,1198.572376953125
9,17,42.20000000000001,-44.89999999999999,2414.70088671875,1198.572376953125
9,16,31.900000000000013,-44.89999999999999,2337.157779296875,1198.572376953125
9,12,-9.299999999999981,-44.89999999999999,2026.9853496093751,1198.572376953125
9,10,-29.899999999999977,-44.89999999999999,1871.8991347656251,1198.572376953125
9,2,-112.3,-44.89999999999999,1251.554275390625,1198.572376953125
9,0,-132.9,-44.89999999999999,1096.468060546875,1198.572376953125
10,0,-132.9,-34.55,1096.468060546875,1276.4919072265625
10,11,-19.59999999999998,-34.55,1949.4422421875001,1276.4919072265625
10,12,-9.299999999999981,-34.55,2026.9853496093751,1276.4919072265625
10,13,1.0000000000000169,-34.55,2104.52845703125,1276.4919072265625
10,16,31.900000000000013,-34.55,2337.157779296875,1276.4919072265625
10,18,52.50000000000001,-34.55,2492.243994140625,1276.4919072265625
10,26,134.90000000000006,-34.55,3112.5888535156255,1276.4919072265625
11,26,134.90000000000006,-24.20000000000001,3112.5888535156255,1354.4114375
11,24,114.30000000000007,-24.20000000000001,2957.5026386718755,1354.4114375
11,23,104.0,-24.20000000000001,2879.95953125,1354.4114375
11,21,83.4,-24.20000000000001,2724.87331640625,1354.4114375
11,14,11.300000000000015,-24.20000000000001,2182.071564453125,1354.4114375
11,13,1.0000000000000169,-24.20000000000001,2104.52845703125,1354.4114375
11,7,-60.799999999999976,-24.20000000000001,1639.2698125000002,1354.4114375
11,5,-81.4,-24.20000000000001,1484.18359765625,1354.4114375
11,3,-102.0,-24.20000000000001,1329.0973828125,1354.4114375
11,0,-132.9,-24.20000000000001,1096.468060546875,1354.4114375
12,0,-132.9,-13.849999999999989,1096.468060546875,1432.3309677734376
12,3,-102.0,-13.849999999999989,1329.0973828125,1432.3309677734376
12,7,-60.799999999999976,-13.849999999999989,1639.2698125000002,1432.3309677734376
12,14,11.300000000000015,-13.849999999999989,2182.071564453125,1432.3309677734376
12,24,114.30000000000007,-13.849999999999989,2957.5026386718755,1432.3309677734376
13,18,52.50000000000001,-3.4999999999999987,2492.243994140625,1510.250498046875
13,14,11.300000000000015,-3.4999999999999987,2182.071564453125,1510.250498046875
13,13,1.0000000000000169,-3.4999999999999987,2104.52845703125,1510.250498046875
13,12,-9.299999999999981,-3.4999999999999987,2026.9853496093751,1510.250498046875
13,9,-40.199999999999974,-3.4999999999999987,1794.3560273437502,1510.250498046875
13,8,-50.49999999999998,-3.4999999999999987,1716.8129199218752,1510.250498046875
13,5,-81.4,-3.4999999999999987,1484.18359765625,1510.250498046875
13,0,-132.9,-3.4999999999999987,1096.468060546875,1510.250498046875
14,4,-91.7,6.849999999999992,1406.640490234375,1588.1700283203124
14,13,1.0000000000000169,6.849999999999992,2104.52845703125,1588.1700283203124
14,14,11.300000000000015,6.849999999999992,2182.071564453125,1588.1700283203124
14,16,31.900000000000013,6.849999999999992,2337.157779296875,1588.1700283203124
14,17,42.20000000000001,6.849999999999992,2414.70088671875,1588.1700283203124
14,23,104.0,6.849999999999992,2879.95953125,1588.1700283203124
14,24,114.30000000000007,6.849999999999992,2957.5026386718755,1588.1700283203124
15,10,-29.899999999999977,17.200000000000014,1871.8991347656251,1666.08955859375
15,5,-81.4,17.200000000000014,1484.18359765625,1666.08955859375
16,0,-132.9,27.550000000000004,1096.468060546875,1744.0090888671875
16,4,-91.7,27.550000000000004,1406.640490234375,1744.0090888671875
16,6,-71.09999999999998,27.550000000000004,1561.7267050781252,1744.0090888671875
16,12,-9.299999999999981,27.550000000000004,2026.9853496093751,1744.0090888671875
16,15,21.600000000000016,27.550000000000004,2259.614671875,1744.0090888671875
16,20,73.10000000000001,27.550000000000004,2647.330208984375,1744.0090888671875
16,26,134.90000000000006,27.550000000000004,3112.5888535156255,1744.0090888671875
17,26,134.90000000000006,37.89999999999999,3112.5888535156255,1821.928619140625
17,20,73.10000000000001,37.89999999999999,2647.330208984375,1821.928619140625
17,15,21.600000000000016,37.89999999999999,2259.614671875,1821.928619140625
17,11,-19.59999999999998,37.89999999999999,1949.4422421875001,1821.928619140625
17,9,-40.199999999999974,37.89999999999999,1794.3560273437502,1821.928619140625
17,0,-132.9,37.89999999999999,1096.468060546875,1821.928619140625
18,0,-132.9,48.250000000000014,1096.468060546875,1899.8481494140626
18,3,-102.0,48.250000000000014,1329.0973828125,1899.8481494140626
18,6,-71.09999999999998,48.250000000000014,1561.7267050781252,1899.8481494140626
18,7,-60.799999999999976,48.250000000000014,1639.2698125000002,1899.8481494140626
18,8,-50.49999999999998,48.250000000000014,1716.8129199218752,1899.8481494140626
18,15,21.600000000000016,48.250000000000014,2259.614671875,1899.8481494140626
18,26,134.90000000000006,48.250000000000014,3112.5888535156255,1899.8481494140626
19,25,124.60000000000007,58.6,3035.0457460937505,1977.7676796875
19,19,62.80000000000001,58.6,2569.7871015625,1977.7676796875
19,2,-112.3,58.6,1251.554275390625,1977.7676796875
19,0,-132.9,58.6,1096.468060546875,1977.7676796875
20,1,-122.6,68.94999999999996,1174.01116796875,2055.6872099609373
20,3,-102.0,68.94999999999996,1329.0973828125,2055.6872099609373
20,4,-91.7,68.94999999999996,1406.640490234375,2055.6872099609373
20,5,-81.4,68.94999999999996,1484.18359765625,2055.6872099609373
20,6,-71.09999999999998,68.94999999999996,1561.7267050781252,2055.6872099609373
20,12,-9.299999999999981,68.94999999999996,2026.9853496093751,2055.6872099609373
20,14,11.300000000000015,68.94999999999996,2182.071564453125,2055.6872099609373
20,18,52.50000000000001,68.94999999999996,2492.243994140625,2055.6872099609373
20,24,114.30000000000007,68.94999999999996,2957.5026386718755,2055.6872099609373
20,25,124.60000000000007,68.94999999999996,3035.0457460937505,2055.6872099609373
21,24,114.30000000000007,79.30000000000001,2957.5026386718755,2133.606740234375
21,18,52.50000000000001,79.30000000000001,2492.243994140625,2133.606740234375
21,16,31.900000000000013,79.30000000000001,2337.157779296875,2133.606740234375
21,2,-112.3,79.30000000000001,1251.554275390625,2133.606740234375
21,1,-122.6,79.30000000000001,1174.01116796875,2133.606740234375
22,2,-112.3,89.65,1251.554275390625,2211.5262705078126
22,3,-102.0,89.65,1329.0973828125,2211.5262705078126
22,16,31.900000000000013,89.65,2337.157779296875,2211.5262705078126
22,22,93.7,89.65,2802.416423828125,2211.5262705078126
22,23,104.0,89.65,2879.95953125,2211.5262705078126
22,24,114.30000000000007,89.65,2957.5026386718755,2211.5262705078126
23,23,104.0,100.0,2879.95953125,2289.44580078125
23,22,93.7,100.0,2802.416423828125,2289.44580078125
23,21,83.4,100.0,2724.87331640625,2289.44580078125
23,20,73.10000000000001,100.0,2647.330208984375,2289.44580078125
23,4,-91.7,100.0,1406.640490234375,2289.44580078125
23,3,-102.0,100.0,1329.0973828125,2289.44580078125
24,4,-91.7,110.35000000000005,1406.640490234375,2367.365331054688
24,5,-81.4,110.35000000000005,1484.18359765625,2367.365331054688
24,20,73.10000000000001,110.35000000000005,2647.330208984375,2367.365331054688
24,21,83.4,110.35000000000005,2724.87331640625,2367.365331054688
24,22,93.7,110.35000000000005,2802.416423828125,2367.365331054688
25,20,73.10000000000001,120.69999999999997,2647.330208984375,2445.284861328125
25,19,62.80000000000001,120.69999999999997,2569.7871015625,2445.284861328125
25,15,21.600000000000016,120.69999999999997,2259.614671875,2445.284861328125
25,13,1.0000000000000169,120.69999999999997,2104.52845703125,2445.284861328125
25,11,-19.59999999999998,120.69999999999997,1949.4422421875001,2445.284861328125
25,7,-60.799999999999976,120.69999999999997,1639.2698125000002,2445.284861328125
25,6,-71.09999999999998,120.69999999999997,1561.7267050781252,2445.284861328125
25,5,-81.4,120.69999999999997,1484.18359765625,2445.284861328125
26,7,-60.799999999999976,131.05000000000004,1639.2698125000002,2523.2043916015627
26,8,-50.49999999999998,131.05000000000004,1716.8129199218752,2523.2043916015627
26,9,-40.199999999999974,131.05000000000004,1794.3560273437502,2523.2043916015627
26,10,-29.899999999999977,131.05000000000004,1871.8991347656251,2523.2043916015627
26,12,-9.299999999999981,131.05000000000004,2026.9853496093751,2523.2043916015627
26,16,31.900000000000013,131.05000000000004,2337.157779296875,2523.2043916015627
26,17,42.20000000000001,131.05000000000004,2414.70088671875,2523.2043916015627
26,18,52.50000000000001,131.05000000000004,2492.243994140625,2523.2043916015627
26,19,62.80000000000001,131.05000000000004,2569.7871015625,2523.2043916015627
